country,dr_per_1000,bed_per_1000
Canada,0.66,1.99
Russia,0.73,0.67
Australia,0.73,0.72
Italy,0.53,1.4
Australia,0.62,1.88
"South Africa",0.61,1.57
Indonesia,0.6,1.63
Brazil,0.53,0.76
Nigeria,0.55,0.95
Italy,0.74,1.81
France,0.69,1.01
China,0.67,1.86
Japan,0.91,1.46
Nigeria,0.92,1.45
Russia,0.99,1.03
Canada,0.67,0.55
Germany,0.88,1.45
Turkey,0.89,0.61
Mexico,0.68,1.2
Australia,0.99,1.76
Nigeria,0.53,0.61
Japan,0.55,1.22
Brazil,0.59,1.24
USA,0.6,1.8
Nigeria,0.96,1.17
Indonesia,0.86,1.44
Indonesia,0.55,0.8
UK,0.86,1.87
Australia,0.58,1.62
Turkey,0.84,1.42
Indonesia,0.95,1.33
Germany,0.54,0.98
Russia,0.85,0.95
Argentina,0.68,1.72
France,0.98,0.97
China,0.98,1.82
Canada,0.71,1.3
Canada,0.71,1.97
"South Korea",0.63,0.87
China,0.66,0.86
Indonesia,0.5,1.03
"South Africa",0.64,1.26
Turkey,0.61,1.52
"South Korea",0.6,0.56
India,0.89,1.67
"South Korea",0.75,1.07
India,0.92,0.55
Turkey,0.97,1.27
Russia,0.87,1.8
Mexico,0.67,0.69
Italy,0.93,1.24
Nigeria,0.75,1.46
Indonesia,0.58,1
Australia,0.88,0.82
China,0.61,1.61
UK,0.51,0.82
"Saudi Arabia",0.71,0.72
Germany,0.76,0.58
"South Africa",0.86,0.55
Japan,0.59,1.49
Argentina,0.65,0.71
"South Korea",0.77,0.58
Argentina,0.83,0.9
UK,0.59,1.22
Canada,0.75,0.8
"Saudi Arabia",0.86,1.13
Nigeria,0.6,1.37
Argentina,0.71,1.4
"South Korea",0.71,1.46
Mexico,0.59,1.01
Germany,0.69,0.86
Canada,0.66,1.52
UK,0.54,1.18
Indonesia,0.83,0.64
Russia,0.83,0.75
Germany,0.82,1.24
China,0.59,1.06
Turkey,0.68,1.1
"South Korea",0.67,1.21
UK,0.91,1.01
"South Africa",0.67,1.36
Argentina,0.62,1.19
"Saudi Arabia",0.51,0.99
Germany,0.77,1.84
India,0.71,0.89
Turkey,0.71,1.22
Turkey,0.62,0.51
India,0.93,1.84
Argentina,0.82,1.17
Canada,0.57,0.88
Australia,0.51,1.16
Turkey,0.68,0.57
Mexico,0.66,1.57
Nigeria,0.85,1.76
Indonesia,0.53,1.05
Italy,0.84,1.84
Canada,0.72,1
"South Africa",0.77,1.65
USA,0.52,1.54
Russia,0.87,0.88
France,0.87,0.95
Indonesia,0.67,1.73
Germany,0.97,1.77
"South Korea",0.7,0.6
China,0.71,1.63
Nigeria,0.78,1.3
France,0.95,1.77
India,0.87,1.53
Australia,0.93,1.45
Russia,0.63,1.65
Mexico,0.69,1.42
Turkey,0.52,1.69
Russia,0.84,0.76
"Saudi Arabia",0.78,1.97
"South Korea",0.51,0.53
Italy,0.91,1.85
Indonesia,0.7,1.87
"South Africa",0.96,1.49
Germany,0.82,0.66
Germany,0.91,0.76
Italy,0.78,0.64
Nigeria,0.83,1.98
Australia,0.99,0.77
Japan,0.84,1.95
UK,0.95,1.15
Turkey,0.9,0.94
Germany,0.62,1.87
India,0.67,1.35
France,0.94,0.58
France,0.98,1.27
Australia,0.86,0.99
Argentina,0.81,1.32
Japan,0.59,1.84
Argentina,0.73,1.72
India,0.64,0.91
Mexico,0.6,0.82
Nigeria,0.51,0.96
"South Korea",0.68,1.18
Canada,0.62,1.76
"Saudi Arabia",0.7,0.91
"South Africa",0.91,1.29
Mexico,0.97,1.36
"South Africa",0.76,0.78
Russia,0.61,0.9
Japan,0.92,1.75
Australia,0.68,0.66
Japan,0.89,0.6
UK,0.82,1.42
UK,0.54,1.12
Turkey,0.91,1.6
