Country,Avg_Income,Avg_Access
Turkey,51351.5797,74.62268786880878
Canada,51136.4192,74.86252675994547
Indonesia,51042.6587,74.49376096040949
Russia,50989.3955,75.06394589006604
Mexico,50966.2837,75.35815532460643
Japan,50801.9608,75.140538198629
Australia,50687.9040,75.24288619466444
China,50637.0252,75.2663071872082
UK,50596.3580,75.01526298087812
"South Korea",50506.6626,74.8773119644073
USA,50351.0609,75.13781726420834
India,50313.5273,75.26846882952826
"South Africa",50304.2274,75.05955831073862
Italy,50220.5263,75.01342419798736
France,50161.1142,74.77575245200924
Nigeria,50142.5504,74.99821087504542
Germany,50013.1615,75.3571098513839
Brazil,49838.3262,74.95927406752647
Argentina,49791.0824,75.05108735582051
"Saudi Arabia",49790.3118,75.20990187959521
